exam_category,exam_type,quiz_id,en_quiz_title,most_vote,correct,en_A,en_B,en_C,en_D,en_E,en_F,ko_quiz_title,ko_A,ko_B,ko_C,ko_D,ko_E,subject,choice_count,ko_F
udemy,CLF-01,222,Which of the following Amazon Simple Storage Service (Amazon S3) storage classes do not charge any data retrieval fee? (Select two),AC,AC,Amazon S3 Standard,Amazon S3 Standard-Infrequent Access (S3 Standard-IA),Amazon S3 Intelligent-Tiering,Amazon S3 Glacier Flexible Retrieval,Amazon S3 One Zone-Infrequent Access (S3 One Zone-IA),,다음 중 데이터 검색 요금을 청구하지 않는 Amazon Simple Storage Service(Amazon S3) 스토리지 클래스는 무엇입니까? (2개 선택),아마존 S3 스탠다드,Amazon S3 Standard-Infrequent Access(S3 Standard-IA),Amazon S3 지능형 계층화,Amazon S3 Glacier 유연한 검색,Amazon S3 One Zone-Infrequent Access(S3 One Zone-IA),0,,
udemy,CLF-01,223,Which of the following is correct regarding the Amazon Relational Database Service (Amazon RDS) service?,C,C,You can use both read replicas and multi-AZ deployment for improved read performance,You can use read replicas for improved read performance and multi-AZ deployment for disaster recovery,You can use read replicas for both improved read performance as well as disaster recovery,You can use read replicas for disaster recovery and multi-AZ deployment for improved read performance,,,다음 중 Amazon Relational Database Service(Amazon RDS) 서비스에 대한 설명으로 옳은 것은 무엇입니까?,향상된 읽기 성능을 위해 읽기 전용 복제본과 다중 AZ 배포를 모두 사용할 수 있습니다.,향상된 읽기 성능을 위해 읽기 전용 복제본을 사용하고 재해 복구를 위해 다중 AZ 배포를 사용할 수 있습니다.,향상된 읽기 성능과 재해 복구 모두를 위해 읽기 전용 복제본을 사용할 수 있습니다.,향상된 읽기 성능을 위해 재해 복구 및 다중 AZ 배포에 읽기 전용 복제본을 사용할 수 있습니다.,,0,,
udemy,CLF-01,224,Which of the following types are free under the Amazon Simple Storage Service (Amazon S3) pricing model? (Select two),AE,AE,Data transferred in from the internet,Data storage fee for objects stored in S3 Glacier,Data transferred out to an Amazon Elastic Compute Cloud (Amazon EC2) instance in any AWS Region,Data storage fee for objects stored in S3 Standard,"Data transferred out to an Amazon Elastic Compute Cloud (Amazon EC2) instance, when the instance is in the same AWS Region as the S3 bucket",,다음 중 Amazon Simple Storage Service(Amazon S3) 요금 모델에서 무료로 제공되는 유형은 무엇입니까? (2개 선택),인터넷에서 전송된 데이터,S3 Glacier에 저장된 객체에 대한 데이터 스토리지 요금,모든 AWS 리전의 Amazon Elastic Compute Cloud(Amazon EC2) 인스턴스로 전송된 데이터,S3 Standard에 저장된 객체에 대한 데이터 스토리지 요금,인스턴스가 S3 버킷과 동일한 AWS 리전에 있는 경우 Amazon Elastic Compute Cloud(Amazon EC2) 인스턴스로 전송된 데이터,0,,
udemy,CLF-01,225,Which entity ensures that your application on Amazon Elastic Compute Cloud (Amazon EC2) always has the right amount of capacity to handle the current traffic demand?,C,C,Multi-AZ deployment,Application Load Balancer,Amazon EC2 Auto Scaling,Network Load Balancer,,,Amazon Elastic Compute Cloud(Amazon EC2)의 애플리케이션이 항상 현재 트래픽 수요를 처리할 수 있는 적절한 용량을 갖도록 보장하는 엔터티는 무엇입니까?,다중 AZ 배포,애플리케이션 로드 밸런서,Amazon EC2 자동 조정,네트워크 로드 밸런서,,0,,
udemy,CLF-01,226,"A cargo shipping company runs its server fleet on Amazon Elastic Compute Cloud (Amazon EC2) instances. Some of these instances host the CRM (Customer Relationship Management) applications that need to be accessible 24*7. These applications are not mission-critical. In case of a disaster, these applications can be managed on a lesser number of instances for some time.Which disaster recovery strategy is well-suited as well as cost-effective for this requirement?",A,A,Warm Standby strategy,Backup & Restore strategy,Pilot Light strategy,Multi-site active-active strategy,,,화물 운송 회사는 Amazon Elastic Compute Cloud(Amazon EC2) 인스턴스에서 서버 플릿을 실행합니다. 이러한 인스턴스 중 일부는 연중무휴로 액세스할 수 있어야 하는 CRM(Customer Relationship Management) 애플리케이션을 호스팅합니다. 이러한 응용 프로그램은 미션 크리티컬하지 않습니다. 재해가 발생하는 경우 이러한 애플리케이션은 얼마 동안 더 적은 수의 인스턴스에서 관리할 수 있습니다.이 요구 사항에 적합하고 비용 효율적인 재해 복구 전략은 무엇입니까?,웜 스탠바이 전략,백업 및 복원 전략,파일럿 라이트 전략,다중 사이트 활성-활성 전략,,0,,
udemy,CLF-01,227,"Which of the following AWS Support plans provide programmatic access to AWS Support Center features to create, manage and close your support cases? (Select two)",CD,CD,AWS Basic Support,AWS Developer Support,Business,AWS Enterprise Support,AWS Corporate Support,,"다음 중 지원 사례를 생성, 관리 및 종료하기 위해 AWS 지원 센터 기능에 대한 프로그래밍 방식 액세스를 제공하는 AWS 지원 계획은 무엇입니까? (2개 선택)",AWS 기본 지원,AWS 개발자 지원,사업,AWS 엔터프라이즈 지원,AWS 기업 지원,0,,
udemy,CLF-01,228,"A financial services company wants to migrate from its on-premises data center to AWS Cloud. As a Cloud Practitioner, which AWS service would you recommend so that the company can compare the cost of running their IT infrastructure on-premises vs AWS Cloud?",B,B,AWS Cost Explorer,AWS Pricing Calculator,AWS Trusted Advisor,AWS Budgets,,,금융 서비스 회사는 온프레미스 데이터 센터에서 AWS 클라우드로 마이그레이션하려고 합니다. 클라우드 실무자로서 회사가 온프레미스에서 IT 인프라를 실행하는 비용과 AWS 클라우드를 비교할 수 있도록 어떤 AWS 서비스를 추천하시겠습니까?,AWS 비용 탐색기,AWS 요금 계산기,AWS 신뢰할 수 있는 조언자,AWS 예산,,0,,
udemy,CLF-01,229,"According to the AWS Shared Responsibility Model, which of the following are responsibilities of the customer for AWS Identity and Access Management (AWS IAM)? (Select two)",DE,DE,Configuration and vulnerability analysis for the underlying software infrastructure,Compliance validation for the underlying software infrastructure,Manage global network security infrastructure,Analyze user access patterns and review AWS Identity and Access Management (AWS IAM) permissions,Enable multi-factor authentication (MFA) on all accounts,,AWS 공동 책임 모델에 따르면 다음 중 AWS Identity and Access Management(AWS IAM)에 대한 고객의 책임은 무엇입니까? (2개 선택),기본 소프트웨어 인프라에 대한 구성 및 취약성 분석,기본 소프트웨어 인프라에 대한 규정 준수 검증,글로벌 네트워크 보안 인프라 관리,사용자 액세스 패턴 분석 및 AWS Identity and Access Management(AWS IAM) 권한 검토,모든 계정에서 다단계 인증(MFA) 활성화,0,,
udemy,CLF-01,230,AWS Marketplace facilitates which of the following use-cases? (Select two),BE,BE,Purchase compliance documents from third-party vendors,Sell Software as a Service (SaaS) solutions to AWS customers,Buy Amazon EC2 Standard Reserved Instances (RI),Raise request for purchasing AWS Direct Connect connection,AWS customer can buy software that has been bundled into customized Amazon Machine Image (AMIs) by the AWS Marketplace sellers,,AWS Marketplace는 다음 중 어떤 사용 사례를 용이하게 합니까? (2개 선택),타사 공급업체로부터 규정 준수 문서 구매,AWS 고객에게 SaaS(Software as a Service) 솔루션 판매,Amazon EC2 표준 예약 인스턴스(RI) 구입,AWS Direct Connect 연결 구매 요청 제기,AWS 고객은 AWS Marketplace 판매자가 사용자 지정 Amazon Machine Image(AMI)에 번들로 제공한 소프트웨어를 구입할 수 있습니다.,0,,
udemy,CLF-01,231,A firm wants to maintain the same data on Amazon Simple Storage Service (Amazon S3) between its production account and multiple test accounts. Which technique should you choose to copy data into multiple test accounts while retaining object metadata?,C,C,Amazon S3 Bucket Policy,Amazon S3 Storage Classes,Amazon S3 Replication,Amazon S3 Transfer Acceleration (Amazon S3TA),,,회사는 프로덕션 계정과 여러 테스트 계정 간에 Amazon Simple Storage Service(Amazon S3)에서 동일한 데이터를 유지하려고 합니다. 개체 메타데이터를 유지하면서 여러 테스트 계정에 데이터를 복사하려면 어떤 기술을 선택해야 합니까?,Amazon S3 버킷 정책,Amazon S3 스토리지 클래스,Amazon S3 복제,Amazon S3 Transfer Acceleration(Amazon S3TA),,0,,
udemy,CLF-01,232,"Which of the following entities can be used to connect to an Amazon Elastic Compute Cloud (Amazon EC2) server from a Mac OS, Windows or Linux based computer via a browser-based client?",B,B,Putty,Amazon EC2 Instance Connect,SSH,AWS Direct Connect,,,"다음 중 브라우저 기반 클라이언트를 통해 Mac OS, Windows 또는 Linux 기반 컴퓨터에서 Amazon Elastic Compute Cloud(Amazon EC2) 서버에 연결하는 데 사용할 수 있는 엔터티는 무엇입니까?",퍼티,Amazon EC2 인스턴스 연결,SSH,AWS 다이렉트 커넥트,,0,,
udemy,CLF-01,233,A social media analytics company wants to migrate to a serverless stack on AWS. Which of the following scenarios can be handled by AWS Lambda? (Select two),AD,AD,AWS Lambda can be used for preprocessing of data before it is stored in Amazon S3 buckets,AWS Lambda can be used to store sensitive environment variables,You can install low latency databases on AWS Lambda,AWS Lambda can be used to execute code in response to events such as updates to DynamoDB tables,You can install Container Services on AWS Lambda,,소셜 미디어 분석 회사는 AWS의 서버리스 스택으로 마이그레이션하려고 합니다. 다음 중 AWS Lambda에서 처리할 수 있는 시나리오는 무엇입니까? (2개 선택),데이터가 Amazon S3 버킷에 저장되기 전에 데이터 사전 처리에 AWS Lambda를 사용할 수 있습니다.,AWS Lambda는 민감한 환경 변수를 저장하는 데 사용할 수 있습니다.,AWS Lambda에 대기 시간이 짧은 데이터베이스를 설치할 수 있습니다.,AWS Lambda는 DynamoDB 테이블 업데이트와 같은 이벤트에 대한 응답으로 코드를 실행하는 데 사용할 수 있습니다.,AWS Lambda에 컨테이너 서비스를 설치할 수 있습니다.,0,,
udemy,CLF-01,234,Which pillar of AWS Well-Architected Framework is responsible for making sure that you select the right resource types and sizes based on your workload requirements?,B,B,Operational Excellence,Performance Efficiency,Cost Optimization,Reliability,,,워크로드 요구 사항에 따라 올바른 리소스 유형과 크기를 선택하도록 하는 AWS Well-Architected 프레임워크의 핵심 요소는 무엇입니까?,운영 효율성,성능 효율성,비용 최적화,신뢰할 수 있음,,0,,
udemy,CLF-01,235,Which of the following are recommended security best practices for the AWS account root user? (Select two),BD,BD,Keep your AWS account root user access keys in an encrypted file on Amazon S3,Enable multi-factor authentication (MFA) for the AWS account root user,Share AWS account root user access keys with other administrators,Set up an IAM user with administrator permissions and do not use AWS account root user for administrative tasks,Disable multi-factor authentication (MFA) for the AWS account root user as it can lock the entire AWS account if the multi-factor authentication (MFA) device is lost,,다음 중 AWS 계정 루트 사용자에게 권장되는 보안 모범 사례는 무엇입니까? (2개 선택),Amazon S3의 암호화된 파일에 AWS 계정 루트 사용자 액세스 키 보관,AWS 계정 루트 사용자에 대한 MFA(Multi-Factor Authentication) 활성화,다른 관리자와 AWS 계정 루트 사용자 액세스 키 공유,관리자 권한이 있는 IAM 사용자를 설정하고 관리 작업에 AWS 계정 루트 사용자를 사용하지 마십시오.,멀티 팩터 인증(MFA) 디바이스를 분실한 경우 전체 AWS 계정을 잠글 수 있으므로 AWS 계정 루트 사용자에 대해 멀티 팩터 인증(MFA)을 비활성화합니다.,0,,
udemy,CLF-01,236,Which AWS service would you choose for a data processing project that needs a schemaless database?,B,B,Amazon RedShift,Amazon DynamoDB,Amazon Aurora,Amazon Relational Database Service (Amazon RDS),,,스키마리스 데이터베이스가 필요한 데이터 처리 프로젝트를 위해 어떤 AWS 서비스를 선택하시겠습니까?,아마존 레드시프트,아마존 다이나모DB,Amazon Aurora,Amazon 관계형 데이터베이스 서비스(Amazon RDS),,0,,
udemy,CLF-01,237,"Which of the following AWS entities lists all users in your account and the status of their various account aspects such as passwords, access keys, and MFA devices?",A,A,Credentials Report,AWS Trusted Advisor,AWS Cost & Usage Report (AWS CUR),Amazon Inspector,,,"다음 중 계정의 모든 사용자와 암호, 액세스 키 및 MFA 디바이스와 같은 다양한 계정 측면의 상태를 나열하는 AWS 엔터티는 무엇입니까?",자격 증명 보고서,AWS 신뢰할 수 있는 조언자,AWS 비용 및 사용 보고서(AWS CUR),아마존 인스펙터,,0,,
udemy,CLF-01,238,Which AWS service can help you analyze your infrastructure to identify unattached or underutilized Amazon EBS Elastic Volumes?,A,A,AWS Trusted Advisor,AWS Config,Amazon Inspector,Amazon CloudWatch,,,인프라를 분석하여 연결되지 않았거나 활용도가 낮은 Amazon EBS 탄력적 볼륨을 식별하는 데 도움이 되는 AWS 서비스는 무엇입니까?,AWS 신뢰할 수 있는 조언자,AWS 구성,아마존 인스펙터,아마존 클라우드워치,,0,,
udemy,CLF-01,239,Which of the following statements are CORRECT regarding AWS Global Accelerator? (Select two),BC,BC,AWS Global Accelerator uses the AWS global network and its edge locations. But the edge locations used by Global Accelerator are different from Amazon CloudFront edge locations,AWS Global Accelerator is a good fit for non-HTTP use cases,AWS Global Accelerator provides static IP addresses that act as a fixed entry point to your applications,AWS Global Accelerator can be used to host static websites,AWS Global Accelerator cannot be configured with an Elastic Load Balancer (ELB),,다음 중 AWS Global Accelerator에 대한 올바른 설명은 무엇입니까? (2개 선택),AWS Global Accelerator는 AWS 글로벌 네트워크와 엣지 로케이션을 사용합니다. 하지만 Global Accelerator에서 사용하는 엣지 로케이션은 Amazon CloudFront 엣지 로케이션과 다릅니다.,AWS Global Accelerator는 비 HTTP 사용 사례에 적합합니다.,AWS Global Accelerator는 애플리케이션에 대한 고정 진입점 역할을 하는 정적 IP 주소를 제공합니다.,AWS Global Accelerator를 사용하여 정적 웹 사이트를 호스팅할 수 있습니다.,AWS Global Accelerator는 Elastic Load Balancer(ELB)로 구성할 수 없습니다.,0,,
udemy,CLF-01,240,Amazon Elastic Compute Cloud (Amazon EC2) Spot instances are a best-fit for which of the following scenarios?,D,D,To run batch processes for critical workloads,To run scheduled jobs (jobs that run at the same time every day),To install cost-effective Amazon RDS database,To run any containerized workload with Amazon Elastic Container Service (Amazon ECS) that can be interrupted,,,Amazon Elastic Compute Cloud(Amazon EC2) 스팟 인스턴스는 다음 중 어느 시나리오에 가장 적합합니까?,중요한 워크로드에 대한 배치 프로세스를 실행하려면,예약된 작업(매일 같은 시간에 실행되는 작업)을 실행하려면,비용 효율적인 Amazon RDS 데이터베이스를 설치하려면,중단될 수 있는 Amazon Elastic Container Service(Amazon ECS)로 컨테이너화된 워크로드를 실행하려면,,0,,
udemy,CLF-01,241,An e-commerce company wants to review the Payment Card Industry (PCI) reports on AWS Cloud. Which AWS resource can be used to address this use-case?,A,A,AWS Artifact,AWS Cost & Usage Report (AWS CUR),AWS Secrets Manager,AWS Trusted Advisor,,,한 전자상거래 회사가 AWS 클라우드에서 PCI(Payment Card Industry) 보고서를 검토하려고 합니다. 이 사용 사례를 해결하는 데 사용할 수 있는 AWS 리소스는 무엇입니까?,AWS 아티팩트,AWS 비용 및 사용 보고서(AWS CUR),AWS 비밀 관리자,AWS 신뢰할 수 있는 조언자,,0,,
udemy,CLF-01,242,Which of the following entities should be used for an Amazon Elastic Compute Cloud (Amazon EC2) Instance to access a DynamoDB table?,B,B,AWS Key Management Service,IAM role,AWS IAM user access keys,Amazon Cognito,,,DynamoDB 테이블에 액세스하기 위해 Amazon Elastic Compute Cloud(Amazon EC2) 인스턴스에 사용해야 하는 엔터티는 다음 중 무엇입니까?,AWS 키 관리 서비스,IAM 역할,AWS IAM 사용자 액세스 키,아마존 코그니토,,0,,
udemy,CLF-01,243,Which of the following is the best practice for application architecture on AWS Cloud?,A,A,Build loosely coupled components,Build tightly coupled components,Use synchronous communication between components,Build monolithic applications,,,다음 중 AWS 클라우드의 애플리케이션 아키텍처에 대한 모범 사례는 무엇입니까?,느슨하게 결합된 구성 요소 빌드,밀접하게 결합된 구성 요소 구축,구성 요소 간 동기식 통신 사용,모놀리식 애플리케이션 빌드,,0,,
udemy,CLF-01,244,Which of the following AWS services offers Lifecycle configuration for cost-optimal storage?,C,C,AWS Storage Gateway,Amazon Elastic Block Store (Amazon EBS),Amazon Simple Storage Service (Amazon S3),Amazon EC2 Instance Store,,,다음 중 비용 최적화 스토리지를 위한 수명 주기 구성을 제공하는 AWS 서비스는 무엇입니까?,AWS 스토리지 게이트웨이,Amazon Elastic Block Store(Amazon EBS),Amazon Simple Storage Service(Amazon S3),Amazon EC2 인스턴스 스토어,,0,,
udemy,CLF-01,245,A media company uploads its media (audio and video) files to a centralized Amazon Simple Storage Service (Amazon S3) bucket from geographically dispersed locations. Which of the following solutions can the company use to optimize transfer speeds?,A,A,Amazon S3 Transfer Acceleration (S3TA),AWS Global Accelerator,AWS Direct Connect,Amazon CloudFront,,,미디어 회사는 미디어(오디오 및 비디오) 파일을 지리적으로 분산된 위치에서 중앙 집중식 Amazon Simple Storage Service(Amazon S3) 버킷에 업로드합니다. 전송 속도를 최적화하기 위해 회사에서 사용할 수 있는 솔루션은 다음 중 무엇입니까?,Amazon S3 Transfer Acceleration(S3TA),AWS 글로벌 액셀러레이터,AWS 다이렉트 커넥트,아마존 클라우드프론트,,0,,
udemy,CLF-01,246,Which of the following statements are true regarding Amazon Simple Storage Service (Amazon S3) (Select two)?,AD,AD,Amazon Simple Storage Service (Amazon S3) stores data in a flat non-hierarchical structure,You can install databases on Amazon Simple Storage Service (Amazon S3),"Amazon Simple Storage Service (Amazon S3) is a fully managed, elastic file system storage service used as database backup",Amazon Simple Storage Service (Amazon S3) is a key value based object storage service,Amazon Simple Storage Service (Amazon S3) is a block storage service designed for a broad range of workloads,,다음 중 Amazon Simple Storage Service(Amazon S3)(2개 선택)에 대한 설명으로 옳은 것은 무엇입니까?,Amazon Simple Storage Service(Amazon S3)는 평평한 비계층 구조에 데이터를 저장합니다.,Amazon Simple Storage Service(Amazon S3)에 데이터베이스를 설치할 수 있습니다.,Amazon Simple Storage Service(Amazon S3)는 데이터베이스 백업으로 사용되는 완전 관리형 탄력적 파일 시스템 스토리지 서비스입니다.,Amazon Simple Storage Service(Amazon S3)는 키 값 기반 객체 스토리지 서비스입니다.,Amazon Simple Storage Service(Amazon S3)는 광범위한 워크로드를 위해 설계된 블록 스토리지 서비스입니다.,0,,
udemy,CLF-01,247,The QA team at a company wants a tool/service that can provide access to different mobile devices with variations in firmware and Operating System versions.Which AWS service can address this use case?,D,D,AWS CodePipeline,AWS Elastic Beanstalk,AWS Mobile Farm,AWS Device Farm,,,회사의 QA 팀은 펌웨어 및 운영 체제 버전이 다양한 다양한 모바일 장치에 대한 액세스를 제공할 수 있는 도구/서비스를 원합니다.이 사용 사례를 해결할 수 있는 AWS 서비스는 무엇입니까?,AWS CodePipeline,AWS Elastic Beanstalk,AWS 모바일 팜,AWS 디바이스 팜,,0,,
udemy,CLF-01,248,How is Amazon EC2 different from traditional hosting systems? (Select two),BE,BE,"With Amazon EC2, users risk overbuying resources","With Amazon EC2, developers can launch and terminate the instances anytime they need to",Amazon EC2 caters more towards groups of users with similar system requirements so that the server resources are shared across multiple users and the cost is reduced,Amazon EC2 provides a pre-configured instance for a fixed monthly cost,Amazon EC2 can scale with changing computing requirements,,Amazon EC2는 기존 호스팅 시스템과 어떻게 다른가요? (2개 선택),Amazon EC2를 사용하면 사용자가 리소스를 과도하게 구매할 위험이 있습니다.,Amazon EC2를 사용하면 개발자가 필요할 때 언제든지 인스턴스를 시작하고 종료할 수 있습니다.,Amazon EC2는 유사한 시스템 요구 사항을 가진 사용자 그룹에 더 적합하므로 여러 사용자가 서버 리소스를 공유하고 비용을 절감합니다.,Amazon EC2는 월 고정 비용으로 사전 구성된 인스턴스를 제공합니다.,Amazon EC2는 변화하는 컴퓨팅 요구 사항에 따라 확장 가능,0,,
udemy,CLF-01,249,An e-commerce company would like to receive alerts when the Amazon EC2 Reserved Instances (RI) utilization drops below a certain threshold. Which AWS service can be used to address this use-case?,B,B,AWS Cost Explorer,AWS Budgets,AWS Trusted Advisor,AWS Systems Manager,,,전자 상거래 회사는 Amazon EC2 예약 인스턴스(RI) 사용률이 특정 임계값 아래로 떨어질 때 알림을 받고자 합니다. 이 사용 사례를 해결하는 데 사용할 수 있는 AWS 서비스는 무엇입니까?,AWS 비용 탐색기,AWS 예산,AWS 신뢰할 수 있는 조언자,AWS 시스템 관리자,,0,,
udemy,CLF-01,250,Which of the following AWS authentication mechanisms supports an AWS Multi-Factor Authentication (AWS MFA) device that you can plug into a USB port on your computer?,A,A,U2F security key,Hardware Multi-Factor Authentication (AWS MFA) device,Virtual Multi-Factor Authentication (AWS MFA) device,SMS text message-based Multi-Factor Authentication (AWS MFA),,,다음 중 컴퓨터의 USB 포트에 연결할 수 있는 AWS MFA(AWS Multi-Factor Authentication) 디바이스를 지원하는 AWS 인증 메커니즘은 무엇입니까?,U2F 보안 키,하드웨어 멀티 팩터 인증(AWS MFA) 디바이스,가상 멀티 팩터 인증(AWS MFA) 디바이스,SMS 문자 메시지 기반 다단계 인증(AWS MFA),,0,,
udemy,CLF-01,251,A financial services company wants to ensure that all customer data uploaded on its data lake on Amazon Simple Storage Service (Amazon S3) always stays private. Which of the following is the MOST efficient solution to address this compliance requirement?,D,D,Use Amazon CloudWatch to ensure that all Amazon S3 resources stay private,Set up a high-level advisory committee to review the privacy settings of each object uploaded into Amazon S3,Trigger a lambda function every time an object is uploaded on Amazon S3. The lambda function should change the object settings to make sure it stays private,Use Amazon S3 Block Public Access to ensure that all Amazon S3 resources stay private,,,금융 서비스 회사는 Amazon Simple Storage Service(Amazon S3)의 데이터 레이크에 업로드된 모든 고객 데이터가 항상 비공개로 유지되기를 원합니다. 다음 중 이 규정 준수 요구 사항을 해결하기 위한 가장 효율적인 솔루션은 무엇입니까?,Amazon CloudWatch를 사용하여 모든 Amazon S3 리소스를 비공개로 유지,Amazon S3에 업로드된 각 객체의 개인정보 보호 설정을 검토할 고위급 자문 위원회 구성,객체가 Amazon S3에 업로드될 때마다 람다 함수를 트리거합니다. 람다 함수는 객체 설정을 변경하여 비공개로 유지해야 합니다.,Amazon S3 Block Public Access를 사용하여 모든 Amazon S3 리소스를 비공개로 유지,,0,,
udemy,CLF-01,252,AWS Organizations provides which of the following benefits? (Select two),BE,BE,Deploy patches on Amazon EC2 instances across the member AWS accounts,Volume discounts for Amazon EC2 and Amazon S3 aggregated across the member AWS accounts,Check vulnerabilities on Amazon EC2 instances across the member AWS accounts,Provision Amazon EC2 Spot instances across the member AWS accounts,Share the reserved Amazon EC2 instances amongst the member AWS accounts,,AWS Organizations는 다음 중 어떤 이점을 제공합니까? (2개 선택),구성원 AWS 계정 전체에 걸쳐 Amazon EC2 인스턴스에 패치 배포,멤버 AWS 계정 전체에서 집계된 Amazon EC2 및 Amazon S3에 대한 볼륨 할인,구성원 AWS 계정 전체에서 Amazon EC2 인스턴스의 취약성 확인,구성원 AWS 계정 전체에 Amazon EC2 스팟 인스턴스 프로비저닝,구성원 AWS 계정 간에 예약된 Amazon EC2 인스턴스 공유,0,,
udemy,CLF-01,253,An e-commerce company has migrated its IT infrastructure from the on-premises data center to AWS Cloud. Which of the following costs is the company responsible for?,C,C,AWS Data Center physical security costs,Costs for hardware infrastructure on AWS Cloud,Application software license costs,Costs for powering servers on AWS Cloud,,,전자 상거래 회사는 IT 인프라를 온프레미스 데이터 센터에서 AWS 클라우드로 마이그레이션했습니다. 다음 비용 중 회사가 부담하는 비용은?,AWS 데이터 센터 물리적 보안 비용,AWS 클라우드의 하드웨어 인프라 비용,애플리케이션 소프트웨어 라이센스 비용,AWS 클라우드에서 서버 전원 공급 비용,,0,,
udemy,CLF-01,254,Which AWS service can be used to host a static website with the LEAST effort?,A,A,Amazon Simple Storage Service (Amazon S3),AWS Storage Gateway,Amazon Elastic File System (Amazon EFS),Amazon S3 Glacier,,,최소한의 노력으로 정적 웹 사이트를 호스팅하는 데 사용할 수 있는 AWS 서비스는 무엇입니까?,Amazon Simple Storage Service(Amazon S3),AWS 스토리지 게이트웨이,Amazon 탄력적 파일 시스템(Amazon EFS),아마존 S3 빙하,,0,,
udemy,CLF-01,255,Which of the following is a container service of AWS?,D,D,AWS Elastic Beanstalk,Amazon Simple Notification Service (Amazon SNS),Amazon SageMaker,AWS Fargate,,,다음 중 AWS의 컨테이너 서비스는 무엇입니까?,AWS Elastic Beanstalk,Amazon Simple Notification Service(Amazon SNS),아마존 세이지메이커,AWS 파게이트,,0,,
udemy,CLF-01,256,The DevOps team at a Big Data consultancy has set up Amazon Elastic Compute Cloud (Amazon EC2) instances across two AWS Regions for its flagship application. Which of the following characterizes this application architecture?,D,D,Deploying the application across two AWS Regions improves security,Deploying the application across two AWS Regions improves scalability,Deploying the application across two AWS Regions improves agility,Deploying the application across two AWS Regions improves availability,,,빅 데이터 컨설팅 회사의 DevOps 팀은 플래그십 애플리케이션을 위해 두 AWS 리전에 걸쳐 Amazon Elastic Compute Cloud(Amazon EC2) 인스턴스를 설정했습니다. 다음 중 이 애플리케이션 아키텍처의 특징은 무엇입니까?,두 AWS 리전에 애플리케이션을 배포하면 보안이 향상됩니다.,두 AWS 리전에 애플리케이션을 배포하면 확장성이 향상됩니다.,두 AWS 리전에 애플리케이션을 배포하면 민첩성이 향상됩니다.,두 AWS 리전에 애플리케이션을 배포하면 가용성이 향상됩니다.,,0,,
udemy,CLF-01,257,Which AWS service will you use to provision the same AWS infrastructure across multiple AWS accounts and regions?,C,C,AWS CodeDeploy,AWS Systems Manager,AWS CloudFormation,AWS OpsWorks,,,여러 AWS 계정 및 리전에서 동일한 AWS 인프라를 프로비저닝하기 위해 어떤 AWS 서비스를 사용하시겠습니까?,AWS CodeDeploy,AWS 시스템 관리자,AWS 클라우드포메이션,AWS 옵스웍스,,0,,
udemy,CLF-01,258,Which AWS entity enables you to privately connect your Amazon Virtual Private Cloud (Amazon VPC) to an Amazon Simple Queue Service (Amazon SQS) queue?,A,A,VPC Interface Endpoint,VPC Gateway Endpoint,Internet Gateway,AWS Direct Connect,,,Amazon Virtual Private Cloud(Amazon VPC)를 Amazon Simple Queue Service(Amazon SQS) 대기열에 비공개로 연결할 수 있는 AWS 엔터티는 무엇입니까?,VPC 인터페이스 엔드포인트,VPC 게이트웨이 엔드포인트,인터넷 게이트웨이,AWS 다이렉트 커넥트,,0,,
udemy,CLF-01,259,Which of the following is available across all AWS Support plans?,A,A,AWS Health Dashboard – Your account health,Enhanced Technical Support with unlimited cases and unlimited contacts,Third-Party Software Support,Full set of AWS Trusted Advisor best practice checks,,,다음 중 모든 AWS Support 플랜에서 사용할 수 있는 것은 무엇입니까?,AWS 상태 대시보드 – 계정 상태,무제한 사례 및 무제한 연락처로 향상된 기술 지원,타사 소프트웨어 지원,AWS Trusted Advisor 모범 사례 확인 전체 세트,,0,,
udemy,CLF-01,260,Which of the following AWS storage services can be directly used with on-premises systems?,D,D,Amazon Elastic Block Store (Amazon EBS),Amazon EC2 Instance Store,Amazon Simple Storage Service (Amazon S3),Amazon Elastic File System (Amazon EFS),,,다음 중 온프레미스 시스템에서 직접 사용할 수 있는 AWS 스토리지 서비스는 무엇입니까?,Amazon Elastic Block Store(Amazon EBS),Amazon EC2 인스턴스 스토어,Amazon Simple Storage Service(Amazon S3),Amazon 탄력적 파일 시스템(Amazon EFS),,0,,
udemy,CLF-01,261,Which of the following billing timeframes is applied when running a Windows EC2 on-demand instance?,B,B,Pay per day,Pay per second,Pay per hour,Pay per minute,,,다음 중 Windows EC2 온디맨드 인스턴스를 실행할 때 적용되는 청구 기간은 무엇입니까?,일일 지불,초당 지불,시간당 지불,분당 지불,,0,,
udemy,CLF-01,262,A Cloud Practitioner would like to deploy identical resources across all AWS regions and accounts using templates while estimating costs. Which AWS service can assist with this task?,D,D,Amazon LightSail,AWS CodeDeploy,AWS Directory Service for Microsoft Active Directory (AWS Managed Microsoft AD),AWS CloudFormation,,,Cloud Practitioner는 비용을 예측하면서 템플릿을 사용하여 모든 AWS 지역 및 계정에 동일한 리소스를 배포하려고 합니다. 이 작업을 지원할 수 있는 AWS 서비스는 무엇입니까?,아마존 라이트세일,AWS CodeDeploy,Microsoft Active Directory용 AWS Directory Service(AWS 관리형 Microsoft AD),AWS 클라우드포메이션,,0,,
